"XCoord;YCoord;FID;NOMDIS;NOMBRE;COD_DIS;COD_DIS_TX;BARRIO_MAY;COD_DISBAR;COD_BAR;NUM_BAR;BARRIO_MT;COD_DISB;AREA_M2"
"441146,71163107;4479092,74030227;101;Tetuán;Castillejos;6;06;CASTILLEJOS;63;063;3;CASTILLEJOS;6-3;704681,264770"
"433939,33517324;4478516,42769716;102;Moncloa - Aravaca;Aravaca;9;09;ARAVACA;97;097;7;ARAVACA;9-7;5834041,441240"
"443626,78809711;4479501,19172763;103;Ciudad Lineal;Atalaya;15;15;ATALAYA;158;158;8;ATALAYA;15-8;248882,748259"
"442506,67446645;4479342,23623571;104;Chamartín;Nueva España;5;05;NUEVA ESPAÑA;55;055;5;NUEVA ESPAÑA;5-5;1790094,356300"
"445426,21888241;4479433,42022976;105;Hortaleza;Canillas;16;16;CANILLAS;163;163;3;CANILLAS;16-3;2522508,914980"
"448527,27807213;4479457,29495862;106;Barajas;Corralejos;21;21;CORRALEJOS;215;215;5;CORRALEJOS;21-5;4672511,628320"
"439188,66282103;4479644,89880466;107;Moncloa - Aravaca;Valdezarza;9;09;VALDEZARZA;94;094;4;VALDEZARZA;9-4;1397455,733400"
"440304,60741857;4479832,02879549;108;Tetuán;Valdeacederas;6;06;VALDEACEDERAS;65;065;5;VALDEACEDERAS;6-5;1163408,913080"
"441142,60007002;4480229,37177931;109;Tetuán;Almenara;6;06;ALMENARA;64;064;4;ALMENARA;6-4;999367,231008"
"433968,04163269;4480009,06315077;110;Moncloa - Aravaca;Valdemarín;9;09;VALDEMARIN;95;095;5;VALDEMARÍN;9-5;3302462,342720"
"450931,36758185;4480530,18525765;111;Barajas;Casco Histórico de Barajas;21;21;CASCO HISTORICO DE BARAJAS;213;213;3;CASCO HISTÓRICO DE BARAJAS;21-3;549393,831216"
"437391,50651353;4478627,01952845;112;Moncloa - Aravaca;Ciudad Universitaria;9;09;CIUDAD UNIVERSITARIA;93;093;3;CIUDAD UNIVERSITARIA;9-3;14250853,239800"
"430409,71274000;4480219,59201425;113;Moncloa - Aravaca;El Plantío;9;09;EL PLANTIO;96;096;6;EL PLANTÍO;9-6;3528175,094700"
"445152,02690733;4480401,89776459;114;Hortaleza;Pinar del Rey;16;16;PINAR DEL REY;164;164;4;PINAR DEL REY;16-4;2664766,715180"
"444105,25207606;4480844,35081722;115;Hortaleza;Apostol Santiago;16;16;APOSTOL SANTIAGO;165;165;5;APOSTOL SANTIAGO;16-5;1205069,875440"
"442382,27513379;4480625,69927134;116;Chamartín;Castilla;5;05;CASTILLA;56;056;6;CASTILLA;5-6;2161263,419330"
"443334,11974566;4480877,84025100;117;Ciudad Lineal;Costillares;15;15;COSTILLARES;159;159;9;COSTILLARES;15-9;1427246,847560"
"439853,02313462;4480959,02071850;118;Fuencarral - El Pardo;Pilar;8;08;PILAR;84;084;4;PILAR;8-4;1363211,522370"
"438480,31533557;4481152,65627589;119;Fuencarral - El Pardo;Peñagrande;8;08;PEÑAGRANDE;83;083;3;PEÑAGRANDE;8-3;2887271,928630"
"440957,86032438;4481394,72371824;120;Fuencarral - El Pardo;La Paz;8;08;LA PAZ;85;085;5;LA PAZ;8-5;2154754,780510"
"437127,64974970;4481421,76182701;121;Fuencarral - El Pardo;Fuentelareina;8;08;FUENTELAREINA;82;082;2;FUENTELAREINA;8-2;1382643,626700"
"448842,30024175;4480810,55651710;122;Barajas;Timón;21;21;TIMON;214;214;4;TIMÓN;21-4;4798439,238800"
"452237,85372592;4481029,07473533;123;Barajas;Aeropuerto;21;21;AEROPUERTO;212;212;2;AEROPUERTO;21-2;29664865,468200"
"446176,07794766;4482753,28872217;124;Hortaleza;Valdefuentes;16;16;VALDEFUENTES;166;166;6;VALDEFUENTES;16-6;17025262,964900"
"439024,29241494;4483094,18053300;125;Fuencarral - El Pardo;Mirasierra;8;08;MIRASIERRA;87;087;7;MIRASIERRA;8-7;6992795,517250"
"442483,61181058;4483501,17312954;126;Fuencarral - El Pardo;Valverde;8;08;VALVERDE;86;086;6;VALVERDE;8-6;8981228,484770"
"440716,00237809;4487307,22666246;127;Fuencarral - El Pardo;El Goloso;8;08;EL GOLOSO;88;088;8;EL GOLOSO;8-8;26493087,143200"
"435018,71031313;4489409,57803782;128;Fuencarral - El Pardo;El Pardo;8;08;EL PARDO;81;081;1;EL PARDO;8-1;187583377,386000"
"450789,39200741;4471000,98818447;129;Vicálvaro;Casco histórico de Vicálvaro;19;19;CASCO HISTORICO DE VICALVARO;191;191;1;CASCO HISTÓRICO DE VICÁLVARO;19-1;21494220,323300"
"453685,64690438;4472702,12586234;130;Vicálvaro;El Cañaveral;19;19;EL CAÑAVERAL;194;194;4;EL CAÑAVERAL;19-4;10574251,791400"
